"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",,"Distance to Parks"
"37","North Carolina","37001020100","Alamance County, NC - 37001020100","2020","99.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020100","Alamance County, NC - 37001020100","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020200","Alamance County, NC - 37001020200","2020","91.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020200","Alamance County, NC - 37001020200","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020301","Alamance County, NC - 37001020301","2020","29.8%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020301","Alamance County, NC - 37001020301","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020302","Alamance County, NC - 37001020302","2020","68.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020302","Alamance County, NC - 37001020302","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020400","Alamance County, NC - 37001020400","2020","51.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020400","Alamance County, NC - 37001020400","2020","84.6%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020501","Alamance County, NC - 37001020501","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020501","Alamance County, NC - 37001020501","2020","8.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020502","Alamance County, NC - 37001020502","2020","45.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020502","Alamance County, NC - 37001020502","2020","83.8%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020601","Alamance County, NC - 37001020601","2020","2.5%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020601","Alamance County, NC - 37001020601","2020","18.8%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020602","Alamance County, NC - 37001020602","2020","51.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020602","Alamance County, NC - 37001020602","2020","96.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020701","Alamance County, NC - 37001020701","2020","1.4%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020701","Alamance County, NC - 37001020701","2020","13.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020702","Alamance County, NC - 37001020702","2020","23.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020702","Alamance County, NC - 37001020702","2020","43.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020801","Alamance County, NC - 37001020801","2020","7.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020801","Alamance County, NC - 37001020801","2020","24.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020802","Alamance County, NC - 37001020802","2020","93.1%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020802","Alamance County, NC - 37001020802","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020901","Alamance County, NC - 37001020901","2020","5.8%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020901","Alamance County, NC - 37001020901","2020","59.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001020902","Alamance County, NC - 37001020902","2020","34.5%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001020902","Alamance County, NC - 37001020902","2020","75.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021000","Alamance County, NC - 37001021000","2020","54.1%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021000","Alamance County, NC - 37001021000","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021101","Alamance County, NC - 37001021101","2020","59.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021101","Alamance County, NC - 37001021101","2020","95.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021102","Alamance County, NC - 37001021102","2020","2.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021102","Alamance County, NC - 37001021102","2020","23.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021201","Alamance County, NC - 37001021201","2020","31.1%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021201","Alamance County, NC - 37001021201","2020","69.8%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021204","Alamance County, NC - 37001021204","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37001021204","Alamance County, NC - 37001021204","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37001021205","Alamance County, NC - 37001021205","2020","14.3%","",,"Distance to Parks: 1/2 Mile"
